9985,ts_analyseDistr.sh,20181211100356,20181211100513,00:01:17,36236,78
10097,ts_analyse.sh,20181211100406,20181211100528,00:01:22,36246,83
10454,ts_analyseDistr.sh,20181211100417,20181211100521,00:01:04,36257,65
10696,ts_analyseDistr.sh,20181211100425,20181211100634,00:02:09,36265,130
10903,ts_delPgm.sh,20181211100439,20181211100442,00:00:03,36279,4
11518,bloquerDistr.sh,20181211100726,20181211100839,00:01:13,36446,74
11788,bloquerDistr.sh,20181211100818,20181211100943,00:01:25,36498,86
12069,ts_analyseDistr.sh,20181211100847,20181211101231,00:03:44,36527,225
12223,ts_analyse.sh,20181211100853,20181211100938,00:00:45,36533,46
12657,ts_analyseDistr.sh,20181211100955,20181211101325,00:03:30,36595,211
13037,bloquerDistr.sh,20181211101152,20181211101230,00:00:38,36712,39
13157,bloquerDistr.sh,20181211101153,20181211101233,00:00:40,36713,41
13731,ts_analyseDistr.sh,20181211101231,20181211101347,00:01:16,36751,77
13985,ts_analyseDistr.sh,20181211101240,20181211101414,00:01:34,36760,95
14188,bloquerDistr.sh,20181211101245,20181211101328,00:00:43,36765,44
14796,ts_analyseDistr.sh,20181211101332,20181211101353,00:00:21,36812,22
15171,bloquerDistr.sh,20181211101349,20181211101428,00:00:39,36829,40
15646,ts_analyseDistr.sh,20181211101428,20181211101506,00:00:38,36868,39
15962,bloquerDistr.sh,20181211101537,20181211101632,00:00:55,36937,56
16138,bloquerDistr.sh,20181211101547,20181211101625,00:00:38,36947,39
16551,ts_analyseDistr.sh,20181211101626,20181211101740,00:01:14,36986,75
16809,ts_analyseDistr.sh,20181211101633,20181211101807,00:01:34,36993,95
17071,bloquerDistr.sh,20181211101659,20181211101735,00:00:36,37019,37
17477,ts_analyseDistr.sh,20181211101738,20181211101801,00:00:23,37058,24
17996,bloquerDistr.sh,20181211101851,20181211101952,00:01:01,37131,62
18317,ts_analyseDistr.sh,20181211101958,20181211102056,00:00:58,37198,59
18508,bloquerDistr.sh,20181211102016,20181211102058,00:00:42,37216,43
18970,ts_analyseDistr.sh,20181211102103,20181211102251,00:01:48,37263,109
19254,ts_analyse.sh,20181211102130,20181211102304,00:01:34,37290,95
19517,bloquerDistr.sh,20181211102159,20181211102347,00:01:48,37319,109
19619,ts_delPgm.sh,20181211102202,20181211102202,00:00:00,37322,1
19661,ts_analyse.sh,20181211102203,20181211102316,00:01:13,37323,74
20038,bloquerDistr.sh,20181211102231,20181211102416,00:01:45,37351,106
20157,ts_delPgm.sh,20181211102235,20181211102235,00:00:00,37355,1
20534,bloquerDistr.sh,20181211102255,20181211102340,00:00:45,37375,46
20975,ts_addCopy.sh,20181211102323,20181211102323,00:00:00,37403,1
21101,ts_analyseDistr.sh,20181211102342,20181211102430,00:00:48,37422,49
21357,ts_analyseDistr.sh,20181211102351,20181211102401,00:00:10,37431,11
21778,ts_analyseDistr.sh,20181211102422,20181211102433,00:00:11,37462,12
22351,bloquerDistr.sh,20181211102605,20181211102610,00:00:05,37565,6
22634,bloquerDistr.sh,20181211102743,20181211102747,00:00:04,37663,5
22764,ts_delPgm.sh,20181211102817,20181211102818,00:00:01,37697,2
22869,bloquerDistr.sh,20181211103357,20181211103620,00:02:23,38037,144
23227,ts_analyseDistr.sh,20181211103633,20181211104010,00:03:37,38193,218
23605,ts_analyse.sh,20181211103913,20181211104006,00:00:53,38353,54
23962,bloquerDistr.sh,20181211103955,20181211104057,00:01:02,38395,63
24413,ts_analyseDistr.sh,20181211104102,20181211104224,00:01:22,38462,83
24620,ts_analyse.sh,20181211104131,20181211104217,00:00:46,38491,47
24983,ts_delPgm.sh,20181211104215,20181211104215,00:00:00,38535,1
25193,bloquerDistr.sh,20181211104855,20181211104857,00:00:02,38935,3
25459,ts_addCopy.sh,20181211104915,20181211104915,00:00:00,38955,1
25502,bloquerDistr.sh,20181211104915,20181211104922,00:00:07,38955,8
25656,ts_analyse.sh,20181211105034,20181211105326,00:02:52,39034,173
25843,ts_analyse.sh,20181211105148,20181211162403,05:32:15,39108,19936
26042,ts_addCopy.sh,20181211105230,20181211105230,00:00:00,39150,1
26290,bloquerDistr.sh,20181211105406,20181211105449,00:00:43,39246,44
26522,bloquerDistr.sh,20181211105420,20181211105423,00:00:03,39260,4
26725,ts_analyseDistr.sh,20181211105453,20181211105842,00:03:49,39293,230
26881,bloquerDistr.sh,20181211105609,20181211105613,00:00:04,39369,5
27590,ts_analyse.sh,20181211110917,20181211111006,00:00:49,40157,50
27897,ts_analyse.sh,20181211111018,20181211111114,00:00:56,40218,57
28225,ts_analyse.sh,20181211111315,20181211111359,00:00:44,40395,45
28482,ts_delPgm.sh,20181211111350,20181211111350,00:00:00,40430,1
28657,ts_analyse.sh,20181211112017,20181211112111,00:00:54,40817,55
28917,ts_analyse.sh,20181211112055,20181211112145,00:00:50,40855,51
29212,ts_delPgm.sh,20181211112129,20181211112129,00:00:00,40889,1
29343,bloquerDistr.sh,20181211112638,20181211112847,00:02:09,41198,130
29609,bloquerDistr.sh,20181211112800,20181211112854,00:00:54,41280,55
29978,ts_analyseDistr.sh,20181211112856,20181211113026,00:01:30,41336,91
30106,ts_analyseDistr.sh,20181211112859,20181211113345,00:04:46,41339,287
30406,bloquerDistr.sh,20181211112918,20181211113016,00:00:58,41358,59
30529,bloquerDistr.sh,20181211112923,20181211113033,00:01:10,41363,71
31295,ts_analyse.sh,20181211113025,20181211113211,00:01:46,41425,107
31431,ts_analyseDistr.sh,20181211113026,20181211113221,00:01:55,41426,116
31773,ts_analyseDistr.sh,20181211113044,20181211113328,00:02:44,41444,165
31872,bloquerDistr.sh,20181211113054,20181211113251,00:01:57,41454,118
32376,ts_analyse.sh,20181211113132,20181211113238,00:01:06,41492,67
787,ts_analyseDistr.sh,20181211113300,20181211120417,00:31:17,41580,1878
1676,bloquerDistr.sh,20181211113930,20181211114008,00:00:38,41970,39
1906,bloquerDistr.sh,20181211113944,20181211114027,00:00:43,41984,44
2297,ts_analyseDistr.sh,20181211114009,20181211114118,00:01:09,42009,70
2477,ts_analyse.sh,20181211114013,20181211114116,00:01:03,42013,64
2788,ts_analyseDistr.sh,20181211114031,20181211114118,00:00:47,42031,48
3092,bloquerDistr.sh,20181211114047,20181211114132,00:00:45,42047,46
3213,bloquerDistr.sh,20181211114049,20181211114312,00:02:23,42049,144
3777,ts_analyseDistr.sh,20181211114134,20181211114244,00:01:10,42094,71
4316,ts_analyse.sh,20181211114311,20181211114455,00:01:44,42191,105
4511,ts_analyseDistr.sh,20181211114325,20181211115318,00:09:53,42205,594
4871,bloquerDistr.sh,20181211114610,20181211114852,00:02:42,42370,163
5051,ts_analyse.sh,20181211114636,20181211114955,00:03:19,42396,200
5329,bloquerDistr.sh,20181211114801,20181211114804,00:00:03,42481,4
5596,ts_analyseDistr.sh,20181211114902,20181211115046,00:01:44,42542,105
5773,ts_analyse.sh,20181211114906,20181211115055,00:01:49,42546,110
6042,ts_analyse.sh,20181211114955,20181211115104,00:01:09,42595,70
6574,bloquerDistr.sh,20181211115200,20181211115242,00:00:42,42720,43
7108,ts_analyseDistr.sh,20181211115247,20181211115414,00:01:27,42767,88
